region,year,en_sav_ren,shr_acc,eff,shr_floor,f_hours
WEU,2045,0.0,0.28553190460984845,3.705882353,0.91,0.3333333333333333
WEU,2050,0.0,0.2927872181931818,3.823529412,0.91,0.3333333333333333
WEU,2055,0.0,0.299746666625,3.941176471,0.91,0.3333333333333333
WEU,2060,0.0,0.3064795006401515,4.058823529,0.91,0.3333333333333333
WEU,2065,0.0,0.3120639670681818,4.176470588,0.91,0.3333333333333333
WEU,2070,0.0,0.31702690412121215,4.294117647,0.91,0.3333333333333333
WEU,2075,0.0,0.3210788432878788,4.411764706,0.91,0.3333333333333333
WEU,2080,0.0,0.3239526086098485,4.529411765,0.91,0.3333333333333333
WEU,2085,0.0,0.32688141890530303,4.647058824,0.91,0.3333333333333333
WEU,2090,0.0,0.328870849375,4.764705882,0.91,0.3333333333333333
WEU,2095,0.0,0.33041382362121213,4.882352941,0.91,0.3333333333333333
WEU,2100,0.0,0.33152188406060606,5.0,0.91,0.3333333333333333
