BCU_name,year,tec_type,cap_km3_year
160|FSU,2015,membrane,0.010379040477822248
160|FSU,2020,membrane,0.020439558759541593
160|FSU,2025,membrane,0.020439558759541593
161|AFR,1995,membrane,2.206028907234362e-06
161|AFR,2000,membrane,2.2559284828239543e-06
161|AFR,2005,membrane,8.18959734533742e-06
161|AFR,2010,membrane,4.74990501438784e-05
161|AFR,2015,membrane,8.429728188800759e-05
161|AFR,2020,membrane,4.916319849037587e-05
161|AFR,2025,membrane,4.916319849037587e-05
162|CHN,1995,distillation,0.0002976986059248196
162|CHN,1995,membrane,0.006818753591307569
162|CHN,2000,distillation,0.0010224429584257987
162|CHN,2000,membrane,0.022874078931009855
162|CHN,2005,distillation,0.027445330540785875
162|CHN,2005,membrane,0.05246987153127466
162|CHN,2010,distillation,0.03928840362030792
162|CHN,2010,membrane,0.15953021240029625
162|CHN,2015,distillation,0.047315187494168486
162|CHN,2015,membrane,0.1994680829496695
162|CHN,2020,distillation,0.04270122264286544
162|CHN,2020,membrane,0.16264992320859992
162|CHN,2025,distillation,0.04270122264286544
162|CHN,2025,membrane,0.16264992320859992
17|NAM,1995,membrane,6.106721711335879e-05
17|NAM,2000,membrane,7.311176515082842e-05
17|NAM,2005,membrane,0.00011006813971502242
17|NAM,2010,membrane,0.00012267269979800963
17|NAM,2015,membrane,0.00013876681173985195
17|NAM,2020,membrane,5.8522738875555926e-05
17|NAM,2025,membrane,5.8522738875555926e-05
18|PAO,1995,membrane,0.027406854263444816
18|PAO,2000,membrane,0.022707204033051067
18|PAO,2005,membrane,0.03329230226946888
18|PAO,2010,membrane,0.05439582666904006
18|PAO,2015,membrane,0.12539616720249291
18|PAO,2020,membrane,0.07092679242974999
18|PAO,2025,membrane,0.07092679242974999
19|PAO,1995,distillation,0.00013683590263615844
19|PAO,1995,membrane,0.0027512813982384305
19|PAO,2000,distillation,2.6127784176134373e-05
19|PAO,2000,membrane,0.00227949940776186
19|PAO,2005,distillation,7.981623200437361e-05
19|PAO,2005,membrane,0.0033421016165540727
19|PAO,2010,distillation,9.888311059667546e-05
19|PAO,2010,membrane,0.005460613050215893
19|PAO,2015,distillation,0.00087597217845692
19|PAO,2015,membrane,0.012588097083975628
19|PAO,2020,distillation,0.0006151195245810442
19|PAO,2020,membrane,0.007120100788398982
19|PAO,2025,distillation,0.0006151195245810442
19|PAO,2025,membrane,0.007120100788398982
1|AFR,1995,membrane,0.00025604733091085153
1|AFR,2000,membrane,0.0002618390288806289
1|AFR,2005,membrane,0.0009505426400495806
1|AFR,2010,membrane,0.005513075993817296
1|AFR,2015,membrane,0.009784139255692438
1|AFR,2020,membrane,0.005706228831009523
1|AFR,2025,membrane,0.005706228831009523
