MODEL,SCENARIO,YEAR,IMPORTER,MESSAGETEC,LEVEL,UNITS,COMMODITY
NP_SSP2_6.2,pipelines_LNG,2035,R12_CHN,gas_piped_imp,113.45795819234337,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2040,R12_CHN,gas_piped_imp,142.2573620221802,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2045,R12_CHN,gas_piped_imp,179.589676098927,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2050,R12_CHN,gas_piped_imp,227.68204647546924,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2055,R12_CHN,gas_piped_imp,289.4064239259984,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2060,R12_CHN,gas_piped_imp,368.45104145823444,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2070,R12_CHN,gas_piped_imp,598.7195646363373,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2080,R12_CHN,gas_piped_imp,974.3838969302667,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2090,R12_CHN,gas_piped_imp,1052.3335629752607,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2100,R12_CHN,gas_piped_imp,958.9361784358853,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2110,R12_CHN,gas_piped_imp,907.8789725918026,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2030,R12_EEU,gas_piped_imp,35.68949058427684,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2035,R12_EEU,gas_piped_imp,45.549838807729884,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2040,R12_EEU,gas_piped_imp,58.134419445152645,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2045,R12_EEU,gas_piped_imp,64.16596641259528,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2050,R12_EEU,gas_piped_imp,74.13287798757189,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2055,R12_EEU,gas_piped_imp,71.6186111421523,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2060,R12_EEU,gas_piped_imp,73.85229588187394,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2070,R12_EEU,gas_piped_imp,89.21297385294766,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2080,R12_EEU,gas_piped_imp,103.64112021118262,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2090,R12_EEU,gas_piped_imp,124.78302189545336,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2100,R12_EEU,gas_piped_imp,138.04508472878248,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2110,R12_EEU,gas_piped_imp,168.25547595521778,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2030,R12_FSU,gas_piped_imp,2.0491622741210453,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2035,R12_FSU,gas_piped_imp,1.5856027055590145,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2040,R12_FSU,gas_piped_imp,1.2269091480099905,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2045,R12_FSU,gas_piped_imp,0.9493589107744967,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2050,R12_FSU,gas_piped_imp,0.734595828003069,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2055,R12_FSU,gas_piped_imp,0.5684162484758034,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2060,R12_FSU,gas_piped_imp,0.43982965763584014,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2070,R12_FSU,gas_piped_imp,0.263342262999147,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2080,R12_FSU,gas_piped_imp,0.15767274052021746,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2090,R12_FSU,gas_piped_imp,0.09440449406040212,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2100,R12_FSU,gas_piped_imp,0.05652345782407289,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2110,R12_FSU,gas_piped_imp,0.033842682132755,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2030,R12_LAM,gas_piped_imp,45.171625940912655,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2035,R12_LAM,gas_piped_imp,34.95294306895871,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2040,R12_LAM,gas_piped_imp,27.045921056282996,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2045,R12_LAM,gas_piped_imp,20.927618150481646,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2050,R12_LAM,gas_piped_imp,16.193391992121704,GWa,gas (GWa)
