Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100
MESSAGEix-buildings,SSP2_BL,EEU,Stock Addition|Buildings|Residential|Multi-Family Houses,m^2/yr,152998545,149163746,141553436,131982806,125683839,122230048,118912042,113513340,105368895,89291348,65921353,53577200,41018724
MESSAGEix-buildings,SSP2_BL,EEU,Stock Retirement|Buildings|Residential|Multi-Family Houses,m^2/yr,108735305,112824831,115762045,118315648,120955982,123797361,126631943,129064482,130670787,136566512,129643458,117401121,102255217
MESSAGEix-buildings,SSP2_BL,EEU,Stock Addition|Buildings|Residential|Single-Family Houses,m^2/yr,88353076,88834731,86746653,82765069,80291686,78991378,77166656,73545872,67893685,55984836,41981610,36748440,31031215
MESSAGEix-buildings,SSP2_BL,EEU,Stock Retirement|Buildings|Residential|Single-Family Houses,m^2/yr,112227461,123017046,132282758,139725846,145178709,148719934,150486963,150597484,149155960,150253199,138391550,123640333,107898624
MESSAGEix-buildings,SSP2_BL,FSU,Stock Addition|Buildings|Residential|Multi-Family Houses,m^2/yr,300627882,307187162,311551596,322064801,339414139,346229511,344975281,340086179,335529131,328694637,281055998,227569788,178800673
MESSAGEix-buildings,SSP2_BL,FSU,Stock Retirement|Buildings|Residential|Multi-Family Houses,m^2/yr,222150567,236968856,251043853,264456950,277069360,288500441,298222563,305740918,310630251,328936477,316524098,295979283,271641828
MESSAGEix-buildings,SSP2_BL,FSU,Stock Addition|Buildings|Residential|Single-Family Houses,m^2/yr,172353381,171651289,168443465,169185461,174678849,173048870,165052833,160929013,158778854,154400702,134724464,113059191,93281638
MESSAGEix-buildings,SSP2_BL,FSU,Stock Retirement|Buildings|Residential|Single-Family Houses,m^2/yr,238555464,253166296,264187012,271538344,275413162,276060864,273574066,268291755,260353842,256332759,228992903,201148383,175610622
MESSAGEix-buildings,SSP2_BL,LAM,Stock Addition|Buildings|Residential|Informal Houses,m^2/yr,30295325,20377805,13154556,7805447,2692276,1156537,854101,1770037,0,0,0,0,0
MESSAGEix-buildings,SSP2_BL,LAM,Stock Retirement|Buildings|Residential|Informal Houses,m^2/yr,8962250,10645644,12641116,14360024,15726107,16497500,16424925,15403594,13658619,10748543,5487851,2287056,65614
