scenario,R12,year,material,floor_tot_Mm2,floor_new_Mm2,floor_dem_Mm2,mat_stock_Mt,mat_demand_Mt,mat_scrap_Mt
SH2,PAS,2090,cement,5105.15040295286,30.777529583924,63.296437496772,758.6493830764215,4.5211182302196065,9.384520227138697
SH2,PAS,2090,concrete,5105.15040295286,30.777529583924,63.296437496772,5057.66255384281,30.140788201464044,62.56346818092465
SH2,PAS,2090,copper,5105.15040295286,30.777529583924,63.296437496772,0.7476694052567454,0.00405965620986825,0.009085756159079503
SH2,PAS,2090,glass,5105.15040295286,30.777529583924,63.296437496772,20.15839587767106,0.12222563895347074,0.250221259813518
SH2,PAS,2090,steel,5105.15040295286,30.777529583924,63.296437496772,488.4038468512629,2.9974220380632257,6.077291600742155
SH2,PAS,2090,wood,5105.15040295286,30.777529583924,63.296437496772,218.97758909449743,1.4054448454722748,2.7500951620000187
SH2,PAS,2100,aluminum,4638.12323245248,16.713656836982,51.457545235903005,7.213024739285696,0.02648642568194331,0.08059333177964564
SH2,PAS,2100,cement,4638.12323245248,16.713656836982,51.457545235903005,688.6147136644547,2.455181414520786,7.609584388644628
SH2,PAS,2100,concrete,4638.12323245248,16.713656836982,51.457545235903005,4590.764757763031,16.367876096805244,50.73056259096419
SH2,PAS,2100,copper,4638.12323245248,16.713656836982,51.457545235903005,0.6738853029746743,0.0022045856728963,0.007218827464087558
SH2,PAS,2100,glass,4638.12323245248,16.713656836982,51.457545235903005,18.322648462363,0.06637431313578214,0.20368065325174223
SH2,PAS,2100,steel,4638.12323245248,16.713656836982,51.457545235903005,444.36098568213595,1.6277421877928613,4.960419133821748
SH2,PAS,2100,wood,4638.12323245248,16.713656836982,51.457545235903005,199.97096333220068,0.7632231426007099,2.267628398234201
SH2,RCPA,2020,aluminum,1448.88828886405,122.49465227918,13.326125603296,2.6080372977659794,0.22514691737838027,0.023728188386520296
SH2,RCPA,2020,cement,1448.88828886405,122.49465227918,13.326125603296,227.40647269335517,18.935012236673828,2.107765748134265
SH2,RCPA,2020,concrete,1448.88828886405,122.49465227918,13.326125603296,1516.0431512890345,126.23341491115887,14.051771654228432
SH2,RCPA,2020,copper,1448.88828886405,122.49465227918,13.326125603296,0.3037469091771021,0.02453300550805428,0.002857592100828665
SH2,RCPA,2020,glass,1448.88828886405,122.49465227918,13.326125603296,5.690208438120268,0.48383593569382294,0.05218166365982502
SH2,RCPA,2020,steel,1448.88828886405,122.49465227918,13.326125603296,201.54198609539145,16.883591178793303,1.8623433490438552
SH2,RCPA,2020,wood,1448.88828886405,122.49465227918,13.326125603296,49.363840806884276,4.304855896787276,0.44670156512436915
SH2,RCPA,2025,aluminum,1732.62752517077,72.92506286427,16.177215602926,3.1349673574954395,0.1345361114544137,0.02915009950852167
SH2,RCPA,2025,cement,1732.62752517077,72.92506286427,16.177215602926,270.92808181928785,11.241456818305252,2.5371349931187153
SH2,RCPA,2025,concrete,1732.62752517077,72.92506286427,16.177215602926,1806.1872121285855,74.94304545536835,16.914233287458103
SH2,RCPA,2025,copper,1732.62752517077,72.92506286427,16.177215602926,0.35923942227205136,0.014482353381844167,0.0033838507628543265
SH2,RCPA,2025,glass,1732.62752517077,72.92506286427,16.177215602926,6.8141518043735525,0.28833955690860036,0.0635508836579434
SH2,RCPA,2025,steel,1732.62752517077,72.92506286427,16.177215602926,240.46916211739423,10.034678358387946,2.2492431539873863
SH2,RCPA,2025,wood,1732.62752517077,72.92506286427,16.177215602926,59.48826274104485,2.576911263716568,0.5520268768844537
SH2,RCPA,2030,aluminum,1840.03910379724,43.754790766122,22.272475040828,3.3461174689823032,0.08275992116276867,0.04052989886539596
SH2,RCPA,2030,cement,1840.03910379724,43.754790766122,22.272475040828,286.67374328040466,6.6174234748592555,3.468291182635893
SH2,RCPA,2030,concrete,1840.03910379724,43.754790766122,22.272475040828,1911.158288536031,44.1161564990617,23.121941217572623
SH2,RCPA,2030,copper,1840.03910379724,43.754790766122,22.272475040828,0.37736842402850385,0.00818686407564594,0.004561063724355435
SH2,RCPA,2030,glass,1840.03910379724,43.754790766122,22.272475040828,7.246563693038901,0.1742135408137091,0.0877311630806394
SH2,RCPA,2030,steel,1840.03910379724,43.754790766122,22.272475040828,254.81499281989,5.952622216628281,3.083456076129132
SH2,RCPA,2030,wood,1840.03910379724,43.754790766122,22.272475040828,63.650781000743976,1.603726800250005,0.7712231483101815
SH2,RCPA,2035,aluminum,1811.93532295787,22.503705010574,28.124461178447998,3.3110535159317873,0.04448826070991479,0.05150105132001796
SH2,RCPA,2035,cement,1811.93532295787,22.503705010574,28.124461178447998,281.29261496854934,3.2832112652878473,4.359436927658904
SH2,RCPA,2035,concrete,1811.93532295787,22.503705010574,28.124461178447998,1875.2840997903293,21.888075101918982,29.062912851059362
SH2,RCPA,2035,copper,1811.93532295787,22.503705010574,28.124461178447998,0.3676504705993202,0.003736475982589973,0.005680066668426694
SH2,RCPA,2035,glass,1811.93532295787,22.503705010574,28.124461178447998,7.1454113321220785,0.09074293721629138,0.11097340939965587
SH2,RCPA,2035,steel,1811.93532295787,22.503705010574,28.124461178447998,250.3867963189449,2.9972122787981834,3.8828515789872013
SH2,RCPA,2035,wood,1811.93532295787,22.503705010574,28.124461178447998,63.13178615327671,0.8791583782010328,0.9829573476944852
SH2,RCPA,2040,aluminum,1740.78490324976,18.760702396062,31.343252632242,3.1959209487793245,0.03743050241640151,0.05771661811739137
SH2,RCPA,2040,cement,1740.78490324976,18.760702396062,31.343252632242,269.3166756191404,2.7157529089638577,4.83828177629772
SH2,RCPA,2040,concrete,1740.78490324976,18.760702396062,31.343252632242,1795.4445041276028,18.105019393092384,32.2552118419848
SH2,RCPA,2040,copper,1740.78490324976,18.760702396062,31.343252632242,0.3495449453814692,0.0030307237834695713,0.006250928959264733
SH2,RCPA,2040,glass,1740.78490324976,18.760702396062,31.343252632242,6.873667873113215,0.07585287221223261,0.12386496632375778
