region,technology,parameter,Unit,value,availability,Description,Source
R12_LAM,scrap_recovery_aluminum_3,output|aluminum|old_scrap_3,,1.0,1985,,
R12_MEA,scrap_recovery_aluminum_1,input|aluminum|dummy_end_of_life_1,,1.0,1985,,
R12_MEA,scrap_recovery_aluminum_1,output|aluminum|old_scrap_1,,1.0,1985,,
R12_MEA,scrap_recovery_aluminum_2,input|aluminum|dummy_end_of_life_2,,1.0,1985,,
R12_MEA,scrap_recovery_aluminum_2,output|aluminum|old_scrap_2,,1.0,1985,,
R12_MEA,scrap_recovery_aluminum_3,input|aluminum|dummy_end_of_life_3,,1.0,1985,,
R12_CHN,scrap_recovery_aluminum_3,output|aluminum|old_scrap_3,,1.0,1985,,
R12_RCPA,scrap_recovery_aluminum_1,input|aluminum|dummy_end_of_life_1,,1.0,1985,,
R12_RCPA,scrap_recovery_aluminum_1,output|aluminum|old_scrap_1,,1.0,1985,,
R12_RCPA,scrap_recovery_aluminum_2,input|aluminum|dummy_end_of_life_2,,1.0,1985,,
R12_RCPA,scrap_recovery_aluminum_2,output|aluminum|old_scrap_2,,1.0,1985,,
R12_RCPA,scrap_recovery_aluminum_3,input|aluminum|dummy_end_of_life_3,,1.0,1985,,
R12_RCPA,scrap_recovery_aluminum_3,output|aluminum|old_scrap_3,,1.0,1985,,
R12_CHN,scrap_recovery_aluminum_1,input|aluminum|dummy_end_of_life_1,,1.0,1985,,
R12_CHN,scrap_recovery_aluminum_1,output|aluminum|old_scrap_1,,1.0,1985,availability of the scrap grade (0.25),"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_CHN,scrap_recovery_aluminum_2,input|aluminum|dummy_end_of_life_2,,1.0,1985,,
R12_CHN,scrap_recovery_aluminum_2,output|aluminum|old_scrap_2,,1.0,1985,,
R12_CHN,scrap_recovery_aluminum_3,input|aluminum|dummy_end_of_life_3,,1.0,1985,,
R12_CHN,scrap_recovery_aluminum_3,output|aluminum|old_scrap_3,,1.0,1985,,
R12_CHN,other_EOL_aluminum,output|aluminum|demand,,1.0,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_RCPA,other_EOL_aluminum,output|aluminum|demand,,1.0,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_EEU,other_EOL_aluminum,output|aluminum|demand,,1.0,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_WEU,other_EOL_aluminum,output|aluminum|demand,,1.0,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_PAO,other_EOL_aluminum,output|aluminum|demand,,1.0,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_MEA,other_EOL_aluminum,output|aluminum|demand,,1.0,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_NAM,other_EOL_aluminum,output|aluminum|demand,,1.0,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_PAS,other_EOL_aluminum,output|aluminum|demand,,1.0,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_SAS,other_EOL_aluminum,output|aluminum|demand,,1.0,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_LAM,other_EOL_aluminum,output|aluminum|demand,,1.0,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_FSU,other_EOL_aluminum,output|aluminum|demand,,1.0,1985,,
R12_AFR,other_EOL_aluminum,output|aluminum|demand,,1.0,1985,,
R12_RCPA,DUMMY_bauxite_supply,output|bauxite|primary_material,Mton,1.0,1985,,
R12_RCPA,prebake_aluminum,inv_cost,MUS2005/MtonAl,4081.2826114431177,1985,There are higher values in IEA ETSAP report- new point feeder prebaked green site. Between 5320 2010USD - 6650 2010USD,TEPCO report (Investigation of emission reduction and uncertainties of global electrification scenarios). 2640 US$1990 / t.  https://www.inflationtool.com/us-dollar
R12_RCPA,soderberg_aluminum,inv_cost,MUS2005/MtonAl,3060.9619585823384,1985,No updated values found,TEPCO report (Investigation of emission reduction and uncertainties of global electrification scenarios). 1980 US$1990 / t. https://www.inflationtool.com/us-dollar
R12_RCPA,prebake_aluminum,fix_cost,MUS2005/MtonAl,480.3871993065087,1985,190  - 690 euro / t. 2010 EUR to USD in 2010: 1.33,(IEA ETSAP - 2012). https://www.statista.com/statistics/412794/euro-to-u-s-dollar-annual-average-exchange-rate/
R12_RCPA,soderberg_aluminum,fix_cost,MUS2005/MtonAl,480.3871993065087,1985,,own calculation
R12_RCPA,prebake_aluminum,technical_lifetime,yr,30.0,1985,,
R12_RCPA,soderberg_aluminum,technical_lifetime,yr,30.0,1985,,
R12_RCPA,prep_secondary_aluminum_1,capacity_factor,,1.0,1985,,
R12_RCPA,prep_secondary_aluminum_2,capacity_factor,,1.0,1985,,
R12_RCPA,prep_secondary_aluminum_3,capacity_factor,,1.0,1985,,
R12_RCPA,prebake_aluminum,capacity_factor,,1.0,1985,,
R12_RCPA,soderberg_aluminum,capacity_factor,,1.0,1985,,
R12_GLB,trade_aluminum,input|aluminum|export,,1.0,1985,,
R12_GLB,trade_aluminum,output|aluminum|import,,1.0,1985,,
R12_GLB,trade_aluminum,var_cost,MUSD/Mt,30.0,1985,same assumption as iron and steel implementation ,
R12_RCPA,import_aluminum,input|aluminum|import,,1.0,1985,,
R12_RCPA,import_aluminum,output|aluminum|product,,1.0,1985,,
R12_RCPA,export_aluminum,input|aluminum|product,,1.0,1965,,
R12_RCPA,export_aluminum,output|aluminum|export,,1.0,1965,,
R12_RCPA,export_aluminum,inv_cost,MUSD/Mt,500.0,1965,existing MESSAGEix value,
R12_RCPA,export_aluminum,technical_lifetime,,30.0,1965,existing MESSAGEix value for coal_exp,
R12_EEU,soderberg_aluminum,growth_activity_lo,,-0.2,2025,otherwise production is zero,
R12_EEU,prebake_aluminum,growth_activity_lo,,-0.1,2025,,
R12_NAM,soderberg_aluminum,growth_activity_lo,,-0.2,2025,otherwise production is zero,
R12_NAM,prebake_aluminum,growth_activity_lo,,-0.1,2025,,
R12_PAO,soderberg_aluminum,growth_activity_lo,,-0.2,2025,otherwise production is zero,
R12_PAO,prebake_aluminum,growth_activity_lo,,-0.1,2025,,
R12_PAS,soderberg_aluminum,growth_activity_lo,,-0.2,2025,otherwise production is zero,
R12_PAS,prebake_aluminum,growth_activity_lo,,-0.1,2025,,
R12_SAS,soderberg_aluminum,growth_activity_lo,,-0.2,2025,otherwise production is zero,
R12_SAS,prebake_aluminum,growth_activity_lo,,-0.1,2025,,
R12_WEU,soderberg_aluminum,growth_activity_lo,,-0.2,2025,it suddenly goes to zero in 2050.,
R12_WEU,prebake_aluminum,growth_activity_lo,,-0.1,2025,,
R12_CHN,soderberg_aluminum,growth_activity_lo,,-0.2,2025,,
R12_CHN,prebake_aluminum,growth_activity_lo,,-0.1,2025,,
R12_RCPA,soderberg_aluminum,growth_activity_lo,,-0.2,2025,,
R12_RCPA,prebake_aluminum,growth_activity_lo,,-0.1,2025,,
R12_AFR,soderberg_aluminum,growth_activity_up,,0.05,2025,,
R12_AFR,prebake_aluminum,growth_activity_up,,0.05,2025,,
R12_LAM,soderberg_aluminum,growth_activity_up,,0.05,2025,,
R12_LAM,prebake_aluminum,growth_activity_up,,0.05,2025,,
R12_WEU,prebake_aluminum,growth_activity_up,,0.05,2025,,
R12_EEU,soderberg_aluminum,growth_activity_up,,0.05,2025,,
R12_PAS,soderberg_aluminum,growth_activity_up,,0.05,2025,,
R12_SAS,soderberg_aluminum,growth_activity_up,,0.05,2025,,
R12_FSU,soderberg_aluminum,growth_activity_up,,0.05,2025,,
R12_MEA,prebake_aluminum,growth_activity_up,,0.05,2025,,
R12_MEA,soderberg_aluminum,growth_activity_up,,0.05,2025,,
R12_NAM,soderberg_aluminum,growth_activity_up,,0.05,2025,,
R12_PAO,soderberg_aluminum,growth_activity_up,,0.05,2025,,
R12_CHN,other_EOL_aluminum,input|aluminum|product,,1.0,1985,,IAI 2017
R12_RCPA,other_EOL_aluminum,input|aluminum|product,,1.0,1985,,IAI 2017
R12_EEU,other_EOL_aluminum,input|aluminum|product,,1.0,1985,,IAI 2017
R12_WEU,other_EOL_aluminum,input|aluminum|product,,1.0,1985,,IAI 2017
R12_PAO,other_EOL_aluminum,input|aluminum|product,,1.0,1985,,IAI 2017
R12_MEA,other_EOL_aluminum,input|aluminum|product,,1.0,1985,,IAI 2017
R12_NAM,other_EOL_aluminum,input|aluminum|product,,1.0,1985,,IAI 2017
R12_PAS,other_EOL_aluminum,input|aluminum|product,,1.0,1985,,IAI 2017
R12_SAS,other_EOL_aluminum,input|aluminum|product,,1.0,1985,,IAI 2017
R12_LAM,other_EOL_aluminum,input|aluminum|product,,1.0,1985,,IAI 2017
R12_FSU,other_EOL_aluminum,input|aluminum|product,,1.0,1985,same as EEU,
R12_AFR,other_EOL_aluminum,input|aluminum|product,,1.0,1985,,
