MESSAGE_region,MESSAGE_sector,MESSAGE_fuel,Value,unit
R12_PAS,cement,wind,0,GWa
R12_PAS,industry_residual,biogas,0.871191885,GWa
R12_PAS,industry_residual,biomass,23.79815369,GWa
R12_PAS,industry_residual,coal,15.96939803,GWa
R12_PAS,industry_residual,crude,0,GWa
R12_PAS,industry_residual,dheat,1.636269978,GWa
R12_PAS,industry_residual,electr,57.81496668,GWa
R12_PAS,industry_residual,ethanol,0.438693817,GWa
R12_PAS,industry_residual,foil,7.978196019,GWa
R12_PAS,industry_residual,gas,34.24372813,GWa
R12_PAS,industry_residual,geothermal,0.005975644,GWa
R12_PAS,industry_residual,hydro,0,GWa
R12_PAS,industry_residual,loil,16.38436785,GWa
R12_PAS,industry_residual,nuclear,0,GWa
R12_PAS,industry_residual,other,0,GWa
R12_PAS,industry_residual,solar_pv,0,GWa
R12_PAS,industry_residual,solar_thermal,0.002380698,GWa
R12_PAS,industry_residual,tidal,0,GWa
R12_PAS,industry_residual,total,159.1433217,GWa
R12_PAS,industry_residual,wind,0,GWa
R12_RCPA,cement,biogas,0,GWa
R12_RCPA,cement,biomass,0.54443275,GWa
R12_RCPA,cement,coal,8.40656612,GWa
R12_RCPA,cement,crude,0,GWa
R12_RCPA,cement,dheat,0,GWa
R12_RCPA,cement,electr,1.191817352,GWa
R12_RCPA,cement,ethanol,0,GWa
R12_RCPA,cement,foil,0.00463105,GWa
R12_RCPA,cement,gas,0.199781152,GWa
R12_RCPA,cement,geothermal,0,GWa
R12_RCPA,cement,hydro,0,GWa
R12_RCPA,cement,loil,0.289453196,GWa
R12_RCPA,cement,nuclear,0,GWa
R12_RCPA,cement,other,0,GWa
R12_RCPA,cement,solar_pv,0,GWa
R12_RCPA,cement,solar_thermal,0,GWa
R12_RCPA,cement,tidal,0,GWa
R12_RCPA,cement,total,10.63668162,GWa
R12_RCPA,cement,wind,0,GWa
R12_RCPA,industry_residual,biogas,0,GWa
R12_RCPA,industry_residual,biomass,7.267271623,GWa
R12_RCPA,industry_residual,coal,16.88545702,GWa
R12_RCPA,industry_residual,crude,0,GWa
R12_RCPA,industry_residual,dheat,0.386870244,GWa
R12_RCPA,industry_residual,electr,10.58306367,GWa
R12_RCPA,industry_residual,ethanol,0,GWa
R12_RCPA,industry_residual,foil,0.116575682,GWa
R12_RCPA,industry_residual,gas,0.126814802,GWa
R12_RCPA,industry_residual,geothermal,0,GWa
R12_RCPA,industry_residual,hydro,0,GWa
R12_RCPA,industry_residual,loil,3.347851792,GWa
R12_RCPA,industry_residual,nuclear,0,GWa
R12_RCPA,industry_residual,other,0,GWa
R12_RCPA,industry_residual,solar_pv,0,GWa
R12_RCPA,industry_residual,solar_thermal,0,GWa
R12_RCPA,industry_residual,tidal,0,GWa
R12_RCPA,industry_residual,total,38.71390451,GWa
R12_RCPA,industry_residual,wind,0,GWa
R12_SAS,cement,biogas,0,GWa
R12_SAS,cement,biomass,0,GWa
R12_SAS,cement,coal,30.15997735,GWa
R12_SAS,cement,crude,0,GWa
R12_SAS,cement,dheat,0,GWa
R12_SAS,cement,electr,0.431582522,GWa
R12_SAS,cement,ethanol,0,GWa
R12_SAS,cement,foil,8.928684717,GWa
R12_SAS,cement,gas,0.010158397,GWa
R12_SAS,cement,geothermal,0,GWa
R12_SAS,cement,hydro,0,GWa
R12_SAS,cement,loil,0.344598557,GWa
R12_SAS,cement,nuclear,0,GWa
R12_SAS,cement,other,0,GWa
R12_SAS,cement,solar_pv,0,GWa
R12_SAS,cement,solar_thermal,0,GWa
R12_SAS,cement,tidal,0,GWa
R12_SAS,cement,total,39.87500155,GWa
R12_SAS,cement,wind,0,GWa
R12_SAS,industry_residual,biogas,0.149699873,GWa
R12_SAS,industry_residual,biomass,92.82972182,GWa
R12_SAS,industry_residual,coal,39.01877398,GWa
R12_SAS,industry_residual,crude,0,GWa
R12_SAS,industry_residual,dheat,0,GWa
R12_SAS,industry_residual,electr,56.93876989,GWa
R12_SAS,industry_residual,ethanol,0,GWa
R12_SAS,industry_residual,foil,17.13323511,GWa
R12_SAS,industry_residual,gas,20.98288853,GWa
R12_SAS,industry_residual,geothermal,0,GWa
R12_SAS,industry_residual,hydro,0,GWa
R12_SAS,industry_residual,loil,9.362864203,GWa
R12_SAS,industry_residual,nuclear,0,GWa
R12_SAS,industry_residual,other,0,GWa
R12_SAS,industry_residual,solar_pv,0,GWa
R12_SAS,industry_residual,solar_thermal,0.088031932,GWa
R12_SAS,industry_residual,tidal,0,GWa
R12_SAS,industry_residual,total,236.5039847,GWa
R12_SAS,industry_residual,wind,0,GWa
R12_WEU,cement,biogas,0.026663665,GWa
R12_WEU,cement,biomass,1.950730967,GWa
R12_WEU,cement,coal,9.048609694,GWa
R12_WEU,cement,crude,0,GWa
R12_WEU,cement,dheat,0.266255823,GWa
R12_WEU,cement,electr,6.999985474,GWa
R12_WEU,cement,ethanol,0.012528732,GWa
R12_WEU,cement,foil,8.151656939,GWa
R12_WEU,cement,gas,14.91280743,GWa
R12_WEU,cement,geothermal,0,GWa
R12_WEU,cement,hydro,0,GWa
R12_WEU,cement,loil,1.041478543,GWa
R12_WEU,cement,nuclear,0,GWa
R12_WEU,cement,other,0,GWa
R12_WEU,cement,solar_pv,0,GWa
R12_WEU,cement,solar_thermal,5.25E-05,GWa
R12_WEU,cement,tidal,0,GWa
R12_WEU,cement,total,42.41076874,GWa
R12_WEU,cement,wind,0,GWa
R12_WEU,industry_residual,biogas,0.70167752,GWa
R12_WEU,industry_residual,biomass,22.90069963,GWa
R12_WEU,industry_residual,coal,7.801518461,GWa
R12_WEU,industry_residual,crude,0,GWa
R12_WEU,industry_residual,dheat,9.942670004,GWa
R12_WEU,industry_residual,electr,68.64406991,GWa
R12_WEU,industry_residual,ethanol,0.519138321,GWa
R12_WEU,industry_residual,foil,2.882136415,GWa
R12_WEU,industry_residual,gas,52.63920764,GWa
R12_WEU,industry_residual,geothermal,0.018875618,GWa
R12_WEU,industry_residual,hydro,0,GWa
R12_WEU,industry_residual,loil,13.39965085,GWa
R12_WEU,industry_residual,nuclear,0,GWa
R12_WEU,industry_residual,other,0,GWa
R12_WEU,industry_residual,solar_pv,0,GWa
R12_WEU,industry_residual,solar_thermal,0.408534015,GWa
R12_WEU,industry_residual,tidal,0,GWa
R12_WEU,industry_residual,total,179.8581789,GWa
R12_WEU,industry_residual,wind,0,GWa
