node_loc,technology,year_vtg,value,unit,coc_base,non_coc_base,non_coc_base_2020,non_coc_base_growth
R12_AFR,wind_res1,2100,805.6315391131393,USD/kWa,188.76639344262293,616.8651456705163,1698.8975409836062,0.36309732093282776
R12_AFR,wind_res1,2110,805.6315391131393,USD/kWa,188.76639344262293,616.8651456705163,1698.8975409836062,0.36309732093282776
R12_AFR,wind_res1,2025,1887.6639344262292,USD/kWa,188.76639344262293,1698.8975409836062,1698.8975409836062,1.0
R12_AFR,wind_res1,2035,1410.895539847298,USD/kWa,188.76639344262293,1222.129146404675,1698.8975409836062,0.7193660105582955
R12_AFR,wind_res1,2045,1153.295166408676,USD/kWa,188.76639344262293,964.5287729660531,1698.8975409836062,0.5677380475856257
R12_AFR,wind_res1,2055,1012.0842662377556,USD/kWa,188.76639344262293,823.3178727951326,1698.8975409836062,0.4846189089887425
R12_AFR,wind_res2,2020,1887.6639344262292,USD/kWa,188.76639344262293,1698.8975409836062,1698.8975409836062,1.0
R12_AFR,wind_res2,2030,1613.2684510606396,USD/kWa,188.76639344262293,1424.5020576180166,1698.8975409836062,0.8384861495492403
R12_AFR,wind_res2,2040,1262.5196398553828,USD/kWa,188.76639344262293,1073.7532464127598,1698.8975409836062,0.632029431151623
R12_AFR,wind_res2,2050,1072.4232284837096,USD/kWa,188.76639344262293,883.6568350410867,1698.8975409836062,0.5201354488567205
R12_AFR,wind_res2,2060,966.4899889219928,USD/kWa,188.76639344262293,777.7235954793698,1698.8975409836062,0.4577813415570036
R12_AFR,wind_res2,2070,903.8306593740804,USD/kWa,188.76639344262293,715.0642659314574,1698.8975409836062,0.4208989940131755
R12_AFR,wind_res2,2080,862.7512121807048,USD/kWa,188.76639344262293,673.9848187380819,1698.8975409836062,0.39671893241299694
R12_AFR,wind_res2,2090,832.1165214673249,USD/kWa,188.76639344262293,643.3501280247019,1698.8975409836062,0.37868683219838156
R12_AFR,wind_res2,2100,805.6315391131393,USD/kWa,188.76639344262293,616.8651456705163,1698.8975409836062,0.36309732093282776
R12_AFR,wind_res2,2110,805.6315391131393,USD/kWa,188.76639344262293,616.8651456705163,1698.8975409836062,0.36309732093282776
R12_AFR,wind_res2,2025,1887.6639344262292,USD/kWa,188.76639344262293,1698.8975409836062,1698.8975409836062,1.0
R12_AFR,wind_res2,2035,1410.895539847298,USD/kWa,188.76639344262293,1222.129146404675,1698.8975409836062,0.7193660105582955
R12_AFR,wind_res2,2045,1153.295166408676,USD/kWa,188.76639344262293,964.5287729660531,1698.8975409836062,0.5677380475856257
R12_AFR,wind_res2,2055,1012.0842662377556,USD/kWa,188.76639344262293,823.3178727951326,1698.8975409836062,0.4846189089887425
R12_AFR,wind_res3,2020,1887.6639344262292,USD/kWa,188.76639344262293,1698.8975409836062,1698.8975409836062,1.0
R12_AFR,wind_res3,2030,1613.2684510606396,USD/kWa,188.76639344262293,1424.5020576180166,1698.8975409836062,0.8384861495492403
R12_AFR,wind_res3,2040,1262.5196398553828,USD/kWa,188.76639344262293,1073.7532464127598,1698.8975409836062,0.632029431151623
R12_AFR,wind_res3,2050,1072.4232284837096,USD/kWa,188.76639344262293,883.6568350410867,1698.8975409836062,0.5201354488567205
R12_AFR,wind_res3,2060,966.4899889219928,USD/kWa,188.76639344262293,777.7235954793698,1698.8975409836062,0.4577813415570036
R12_AFR,wind_res3,2070,903.8306593740804,USD/kWa,188.76639344262293,715.0642659314574,1698.8975409836062,0.4208989940131755
R12_AFR,wind_res3,2080,862.7512121807048,USD/kWa,188.76639344262293,673.9848187380819,1698.8975409836062,0.39671893241299694
R12_AFR,wind_res3,2090,832.1165214673249,USD/kWa,188.76639344262293,643.3501280247019,1698.8975409836062,0.37868683219838156
R12_AFR,wind_res3,2100,805.6315391131393,USD/kWa,188.76639344262293,616.8651456705163,1698.8975409836062,0.36309732093282776
R12_AFR,wind_res3,2110,805.6315391131393,USD/kWa,188.76639344262293,616.8651456705163,1698.8975409836062,0.36309732093282776
R12_AFR,wind_res3,2025,1887.6639344262292,USD/kWa,188.76639344262293,1698.8975409836062,1698.8975409836062,1.0
